Name,Latitude,Longitude,Votes,Rating,Type,City
Amélie,40.7327,-73.99766,2623,4.5,american,ny
Upstate,40.726373,-73.986557,1817,4.5,american,ny
LoveMama,40.7303859,-73.9860613,4736,4.5,american,ny
Aunt Jake's,40.7190315,-73.9977161,1393,4.0,american,ny
Barn Joo,40.73684,-73.99069,1553,4.0,american,ny
Uglyduckling,40.686023,-73.991302,468,4.0,american,ny
Thai Villa,40.73902,-73.99065,3064,4.5,american,ny
Boucherie West Village,40.733063,-74.0028772,1326,4.5,american,ny
nonono,40.74545,-73.98499,601,4.5,american,ny
Burger & Lobster,40.74007,-73.99344,5332,4.0,american,ny
Fishmarket Restaurant,40.70717,-74.00192,540,4.5,american,ny
Barn Joo 35,40.74964,-73.98582,1836,4.5,american,ny
Salt + Charcoal,40.71453,-73.9613511,428,4.0,american,ny
Joe's Shanghai,40.7146691442891,-73.9977602206654,6005,4.0,american,ny
Balzem,40.721408,-73.995415,415,4.0,american,ny
Pig and Khao,40.71926,-73.98475,1571,4.0,american,ny
Paesano of Mulberry Street,40.718554,-73.997447,834,4.0,american,ny
Juliana's Pizza,40.7026153030093,-73.9934159993549,2121,4.5,american,ny
Bogota Latin Bistro,40.678165,-73.978976,2138,4.0,american,ny
L'Artusi,40.733714,-74.005068,1780,4.5,american,ny
Ipanema Restaurant,40.757072217349,-73.9807795529175,1321,4.0,american,ny
Zusik,40.73864,-74.00029,119,4.5,american,ny
1803,40.715498,-74.007178,326,4.5,american,ny
Trading Post,40.7059604,-74.0041871,412,4.0,american,ny
Jajaja,40.7141530317142,-73.9904247969389,859,4.5,american,ny
Jacob's Pickles,40.7866504411994,-73.9755284786224,3979,4.0,american,ny
Zen Yai Pho Noodle Bar,40.713897,-73.960337,39,4.5,american,ny
Da Andrea,40.736218,-73.99597,733,4.0,american,ny
Gelso & Grand,40.7194089547259,-73.9973777877722,855,4.0,american,ny
Alta,40.7345163811398,-73.9983369619683,1871,4.0,american,ny
Chow House,40.72915,-74.00072,340,4.5,american,ny
Rubirosa,40.72275,-73.99622,2104,4.5,american,ny
Thursday Kitchen,40.7275,-73.9838,1272,4.5,american,ny
Les Enfants de Boheme,40.7136187,-73.9888503,228,4.5,american,ny
Anytime,40.74779,-73.98674,1047,4.5,american,ny
Atrium Dumbo,40.7033899,-73.9904923,659,3.5,american,ny
Carmine's Italian Restaurant - Times Square,40.7574955824307,-73.9866844540098,3667,4.0,american,ny
The Jin,40.76857,-73.98874,193,4.5,american,ny
Bea,40.7591968,-73.9923361,2434,4.0,american,ny
Piccola Cucina Osteria,40.72506,-74.00322,498,4.5,american,ny
Momo King,40.6918,-73.98617,13,4.5,american,ny
Antica Ristorante,40.7039355145338,-74.0121731758117,491,4.5,american,ny
Raku,40.7264988089246,-73.9866526052356,1005,4.5,american,ny
Pepe Rosso Social,40.72007,-73.99618,812,4.0,american,ny
Ippudo NY,40.73092,-73.99015,9898,4.0,american,ny
Chama Mama,40.7384,-73.99892,173,4.5,american,ny
Silver Factory,40.709227,-73.958598,176,4.5,american,ny
Zhen Wei Fang,40.72128,-73.99343,170,4.0,american,ny
Ainslie,40.712343,-73.952121,84,4.0,american,ny
Raku,40.72728,-74.00252,321,4.5,american,ny
The Boil,40.71974,-73.99339,1870,4.5,american,ny
Boucherie Union Square,40.73715,-73.98789,664,4.5,american,ny
PMF Pardon My French,40.72473,-73.98115,942,4.0,american,ny
Somtum Der,40.7252151982238,-73.9842741682317,703,4.0,american,ny
HandCraft Kitchen & Cocktails,40.74103,-73.98132,372,4.0,american,ny
Supper,40.7229,-73.98527,1268,4.0,american,ny
Da Yu Hot Pot 大渝火锅,40.716733,-73.995379,111,4.0,american,ny
Root & Bone,40.72272,-73.98334,1562,4.0,american,ny
Blue Ribbon Brasserie - SoHo,40.725456,-74.003027,925,4.5,american,ny
Olio e Piú,40.733826,-73.999852,2029,4.0,american,ny
Tableside Italian Cook Shoppe,40.7266287,-73.9863384,246,4.5,american,ny
TONCHIN NEW YORK,40.7502727,-73.9844951,1013,4.5,american,ny
BoCaphe,40.722046,-73.997557,1377,4.0,american,ny
Bijan's,40.68803,-73.98671,539,4.0,american,ny
Peter Luger,40.709945,-73.962478,5598,4.0,american,ny
Naked Dog,40.7312720665479,-73.9593493647979,192,4.5,american,ny
DOMODOMO New York,40.72803,-74.00167,1021,4.5,american,ny
Dun Huang - East Village,40.73081,-73.98568,305,4.5,american,ny
Jora Restaurant & Bar,40.7438054,-73.9515007,578,4.5,american,ny
Jack the Horse Tavern,40.699973,-73.993781,386,4.0,american,ny
JeJu Noodle Bar,40.73304,-74.00734,485,4.5,american,ny
Jajaja,40.72979,-74.00455,73,4.5,american,ny
Celestine,40.704676,-73.987975,204,4.0,american,ny
Benemon,40.72551,-73.98838,529,4.5,american,ny
The River Café,40.70318,-73.9946499,1110,4.0,american,ny
